"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CIRBP4",8.44820573488654e-48,0.283690618521078,0.779,0.373,1.94435454988414e-43,"9","CIRBP"
"CYBA4",4.10487119359733e-47,0.43044383822591,0.978,0.695,9.44736105206425e-43,"9","CYBA"
"RTRAF",4.05737746789543e-46,0.256959196823942,0.359,0.137,9.33805424236133e-42,"9","RTRAF"
"HLA-B2",3.77876559020233e-45,0.276136279768136,1,0.952,8.69682900585067e-41,"9","HLA-B"
"CORO1A1",4.35466241781808e-41,0.39005369833925,0.925,0.541,1.00222555546083e-36,"9","CORO1A"
"TMA72",5.27605059633347e-41,0.304151427913367,0.91,0.488,1.21428304474615e-36,"9","TMA7"
"FUBP1",7.99722965688777e-41,0.270657012791504,0.25,0.087,1.84056240553272e-36,"9","FUBP1"
"HNRNPA2B11",1.23489840269463e-38,0.288780072723285,0.865,0.456,2.8421186738017e-34,"9","HNRNPA2B1"
"RPL313",1.46458586520813e-38,0.336007044631285,0.996,0.742,3.37074436877651e-34,"9","RPL3"
"MT-CO13",4.97346566493611e-38,0.291706252861435,1,0.929,1.14464312278505e-33,"9","MT-CO1"
"CD3E2",2.609965894937e-36,0.263453523072109,0.451,0.203,6.0068365071975e-32,"9","CD3E"
"SERF22",9.09922806917571e-33,0.310737102383527,0.968,0.637,2.09418734012079e-28,"9","SERF2"
"LGALS13",2.60438477364742e-32,0.430935614764715,0.74,0.422,5.99399155654955e-28,"9","LGALS1"
"RPL23A3",1.60043077197695e-31,0.259125327623821,0.993,0.693,3.68339142170496e-27,"9","RPL23A"
"RPL174",2.39148020477105e-27,0.26455247061309,0.984,0.721,5.50399169128056e-23,"9","RPL17"
"SH3BGRL33",5.636225466719e-25,0.30994520883778,0.985,0.742,1.29717729116538e-20,"9","SH3BGRL3"
"ACTB3",3.19812004084872e-24,0.382946240672378,1,0.949,7.36047327401334e-20,"9","ACTB"
"CDKN1C",0,2.86144779309714,0.657,0.008,0,"10","CDKN1C"
"LYPD2",0,2.69598165782508,0.294,0.002,0,"10","LYPD2"
"MS4A72",0,2.58708077635447,0.789,0.085,0,"10","MS4A7"
"FCGR3A2",0,2.51618016519878,0.876,0.122,0,"10","FCGR3A"
"LST14",0,2.39490235913484,0.99,0.316,0,"10","LST1"
