"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SEPTIN9.2",5.62716010249264e-09,0.861841654038925,0.437,0.189,0.000129509089758868,"15","SEPTIN9"
"CD4.2",5.68530231949628e-09,0.867689021510883,0.264,0.086,0.000130847232883207,"15","CD4"
"TM9SF2.3",5.74518040892933e-09,0.871068118060781,0.333,0.126,0.000132225327111509,"15","TM9SF2"
"KTN1",5.96130714611916e-09,0.881783631326614,0.333,0.125,0.000137199483967932,"15","KTN1"
"SKAP2.3",6.85471513713341e-09,0.775970618410261,0.368,0.144,0.000157761268881125,"15","SKAP2"
"SSR1.3",6.95497263476183e-09,0.840030665733321,0.368,0.144,0.000160068695189044,"15","SSR1"
"EIF5.2",7.00038182515903e-09,0.81208168842083,0.402,0.167,0.000161113787706035,"15","EIF5"
"SEPTIN6",7.15704292203312e-09,0.939815319761948,0.345,0.13,0.000164719342850592,"15","SEPTIN6"
"NKG7.15",7.8446171192243e-09,-3.51352356667633,0.069,0.356,0.000180543862998947,"15","NKG7"
"CCL5.15",7.95684538140218e-09,-3.44543635253201,0.034,0.319,0.000183126796452971,"15","CCL5"
"MDM4.7",8.29933742150553e-09,0.812517643339177,0.529,0.251,0.00019100925075595,"15","MDM4"
"DDX17.10",9.34267795114736e-09,0.860084162797275,0.667,0.355,0.000215021733045657,"15","DDX17"
"SLC25A5.5",1.02100411663496e-08,1.13721172389483,0.494,0.236,0.000234984097443536,"15","SLC25A5"
"FLNA.10",1.16874422357792e-08,-1.91067619641584,0.057,0.348,0.000268986483056459,"15","FLNA"
"FOS.13",1.22011192022039e-08,-2.51401528136457,0.149,0.424,0.000280808758438723,"15","FOS"
"IFITM2.14",1.22485396058112e-08,-2.30284418236851,0.264,0.542,0.000281900139027746,"15","IFITM2"
"DNM2",1.23342362915154e-08,0.910333288401332,0.253,0.083,0.000283872448249227,"15","DNM2"
"ZMYM2",1.261661252457e-08,0.731261885431182,0.276,0.094,0.000290371337252979,"15","ZMYM2"
